Cell,r_1,i_2,f_3,r_4,i_5,f_6,r_7,i_8,f_9,r_10,i_11,f_12,r_13,i_14,f_15,SOH
3,20004.453,0.2926,0.02272,0.01999,1.88063,-0.43411,15829.126,0.32102,0.00045,4.36941,1.21222,-0.35308,0.26261,1.63125,-0.14657,100
4,20004.453,0.27346,0.0198,0.01999,1.71939,-0.39159,15829.126,0.27938,-3e-05,11.1448,1.0851,-0.27554,0.41976,1.46508,-0.10541,100
6,20004.453,0.32195,0.02155,0.01999,1.7709,-0.43757,15829.126,0.33078,-0.0002,5.5173,1.09221,-0.32226,0.26261,1.51947,-0.13206,100
8,20004.453,0.29397,0.01514,0.01999,1.92954,-0.42692,15829.126,0.35484,-0.00189,4.36941,1.30794,-0.33007,0.26261,1.68835,-0.13579,100
7,20004.453,0.30528,0.01472,0.01999,1.75289,-0.41537,15829.126,0.35849,0.00166,8.81772,1.1194,-0.28388,0.33183,1.51085,-0.11232,100
2,20004.453,0.28533,0.02969,0.01999,1.64008,-0.39374,15829.126,0.30649,0.00689,8.81772,1.04978,-0.26747,0.41976,1.38913,-0.10249,100
6,20004.453,0.32132,0.0203,0.01999,1.76328,-0.44239,15829.126,0.34037,-2e-05,5.5173,1.10205,-0.32438,0.26261,1.51531,-0.13197,99
8,20004.453,0.29174,0.01561,0.01999,1.92911,-0.43034,1.07079,1.47659,0.00118,5.5173,1.22869,-0.32807,0.26261,1.66887,-0.13308,99
7,20004.453,0.31006,0.01425,0.01999,2.30937,-0.5436,15829.126,0.366,0.00012,2.73547,1.45598,-0.47412,0.16452,2.0324,-0.21338,99
2,20004.453,0.28474,0.02953,0.01999,1.64335,-0.37268,0.41976,1.80569,-0.00118,11.1448,1.00341,-0.2646,0.41976,1.39212,-0.10265,99
3,20004.453,0.29484,0.02313,0.01999,1.88546,-0.42533,15829.126,0.30339,-7e-05,5.5173,1.14165,-0.34777,0.26261,1.62514,-0.14371,99
1,20004.453,0.275,0.03318,0.01999,0.90402,-0.27584,12516.703,0.31193,-0.00057,45.3629,0.56538,-0.11389,1.35352,0.71009,-0.03347,99
1,20004.453,1.56984,0.03628,0.01999,2.04766,-0.24432,12516.703,1.46012,-8e-05,57.36816,1.77751,-0.08262,2.73547,1.87064,-0.02329,99
2,20004.453,0.54671,0.03806,0.01999,1.02889,-0.25181,12516.703,0.58266,0.00021,72.51701,0.73787,-0.08131,2.16054,0.84763,-0.02324,99
2,20004.453,0.47084,0.02958,0.01999,1.09505,-0.27295,0.26261,1.18725,-0.00119,57.36816,0.74384,-0.11167,1.35352,0.90469,-0.03382,99
5,20004.453,0.3463,0.02711,0.01999,1.19608,-0.31109,12516.703,0.35997,-0.0028,35.93134,0.73808,-0.16094,0.84734,0.98267,-0.05284,98
1,20004.453,0.3847,0.03513,0.01999,1.25668,-0.32795,12516.703,0.39684,-9e-05,35.93134,0.81236,-0.17167,0.84734,1.05071,-0.05344,98
2,20004.453,0.57719,0.03744,0.01999,1.08406,-0.25962,12516.703,0.60473,0.0003,72.51701,0.77324,-0.0844,2.16054,0.88937,-0.02475,98
1,20004.453,1.78756,0.03616,0.01999,2.27447,-0.24661,12516.703,1.65578,-0.00057,57.36816,1.99747,-0.08447,2.16054,2.09736,-0.02435,98
1,20004.453,0.28022,0.03158,0.01999,0.92128,-0.28327,12516.703,0.29162,0.00113,45.3629,0.57531,-0.11685,1.35352,0.72616,-0.03425,98
2,20004.453,0.47543,0.02743,0.01999,1.11992,-0.2751,12516.703,0.48686,-0.00131,45.3629,0.77518,-0.11621,1.70952,0.9175,-0.03499,97
1,20004.453,1.36835,0.03542,0.01999,1.86876,-0.24981,12516.703,1.40038,-0.00067,57.36816,1.58159,-0.08736,1.70952,1.68945,-0.02439,97
1,20004.453,0.28259,0.03215,0.01999,0.94334,-0.28604,12516.703,0.29537,0.00074,45.3629,0.58024,-0.11752,1.70952,0.72848,-0.03455,97
1,20004.453,1.425,0.03619,0.01999,1.92624,-0.24952,12516.703,1.40491,-0.00021,57.36816,1.63928,-0.08858,2.73547,1.74249,-0.02548,96
2,20004.453,0.53035,0.03459,0.01999,1.04166,-0.25803,12516.703,0.56814,-0.00127,72.51701,0.73189,-0.08638,2.16054,0.85477,-0.02552,96
1,20004.453,1.43608,0.0362,0.01999,1.94256,-0.24402,12516.703,1.44815,-0.00068,57.36816,1.64995,-0.08785,1.70952,1.76215,-0.02545,96
2,20004.453,0.53496,0.03544,0.01999,1.05201,-0.25177,12516.703,0.57291,-0.00074,57.36816,0.75358,-0.08784,1.70952,0.86298,-0.02647,96
1,20004.453,0.38886,0.03399,0.01999,1.2808,-0.323,12516.703,0.40122,0.00013,35.93134,0.818,-0.17235,0.84734,1.06051,-0.05376,96
5,20004.453,0.36317,0.02875,0.01999,1.22101,-0.31452,15829.126,0.38397,0.00274,28.40909,0.78968,-0.16418,1.07079,1.00307,-0.05411,96
1,20004.453,1.40873,0.03629,0.01999,1.9148,-0.25129,12516.703,1.44294,-0.00016,57.36816,1.62419,-0.08916,2.16054,1.73217,-0.02471,96
1,20004.453,1.41037,0.03348,0.01999,1.91381,-0.25078,0.10309,1.86686,-0.00093,72.51701,1.60706,-0.08905,2.16054,1.73127,-0.02538,96
2,20004.453,0.47854,0.02825,0.01999,1.12053,-0.28367,0.84734,1.11592,-0.00078,57.36816,0.75823,-0.11695,1.35352,0.92964,-0.03561,96
2,20004.453,0.49497,0.03451,0.01999,1.0221,-0.26651,12516.703,0.5322,-0.00126,57.36816,0.71129,-0.08887,2.73547,0.81898,-0.02618,96
1,20004.453,1.42262,0.03609,0.01999,1.92776,-0.24896,12516.703,1.42115,-0.00076,72.51701,1.62016,-0.08837,2.16054,1.74613,-0.02535,96
2,20004.453,0.50383,0.03532,0.01999,1.01968,-0.25723,12516.703,0.52447,0.00133,72.51701,0.70449,-0.08859,2.16054,0.83128,-0.02651,95
1,20004.453,1.36997,0.03521,0.01999,1.87773,-0.25123,12516.703,1.40751,-0.00074,57.36816,1.5864,-0.09001,1.70952,1.70023,-0.02541,95
1,20004.453,0.27878,0.03159,0.01999,0.94638,-0.28556,0.10309,0.80046,0.00017,45.3629,0.57764,-0.11839,1.35352,0.73254,-0.03536,95
2,20004.453,0.50302,0.03517,0.01999,1.03258,-0.26707,12516.703,0.52249,0.00246,57.36816,0.72138,-0.09015,2.16054,0.83182,-0.02638,95
2,20004.453,0.48469,0.0345,0.01999,1.00903,-0.25412,0.20791,1.08627,-0.00023,57.36816,0.70443,-0.08911,2.73547,0.8149,-0.02676,95
1,20004.453,1.37159,0.03513,0.01999,1.88173,-0.25094,0.26261,1.95885,0.00083,57.36816,1.58489,-0.08918,1.70952,1.70151,-0.02569,95
2,20004.453,0.48,0.03454,0.01999,1.00977,-0.25563,0.41976,1.08381,-0.00029,57.36816,0.69711,-0.08965,2.16054,0.81118,-0.02659,95
1,20004.453,1.43304,0.03481,0.01999,1.94008,-0.25186,12516.703,1.44604,-0.00168,57.36816,1.64816,-0.08956,1.70952,1.7637,-0.02541,95
1,20004.453,1.38718,0.03542,0.01999,1.897,-0.25057,12516.703,1.40115,0.00141,45.3629,1.61788,-0.08931,2.16054,1.71452,-0.02621,95
2,20004.453,0.45887,0.0344,0.01999,0.97996,-0.26012,0.08153,0.96523,0.00233,57.36816,0.67647,-0.08999,2.16054,0.79027,-0.02632,95
1,20004.453,0.27923,0.03043,0.01999,0.94371,-0.29818,12516.703,0.29008,0.00011,45.3629,0.57732,-0.11982,1.70952,0.73081,-0.03558,95
2,20004.453,0.44607,0.03259,0.01999,0.9788,-0.27268,12516.703,0.46401,0.00131,57.36816,0.66524,-0.09176,1.70952,0.78365,-0.02705,95
1,20004.453,1.42997,0.03508,0.01999,1.944,-0.247,12516.703,1.41797,0.00157,57.36816,1.64211,-0.09017,2.16054,1.75838,-0.02647,95
1,20004.453,1.44149,0.03336,0.01999,1.95633,-0.24676,0.08153,1.86734,-0.00055,45.3629,1.67486,-0.09096,2.16054,1.77274,-0.02646,95
2,20004.453,0.4293,0.03088,0.01999,0.96503,-0.25844,12516.703,0.44827,0.00072,57.36816,0.6467,-0.09164,2.16054,0.76335,-0.02671,95
1,20004.453,0.27811,0.03,0.01999,0.93355,-0.28144,12516.703,0.28876,0.00032,45.3629,0.57664,-0.12033,1.35352,0.73175,-0.03502,95
2,20004.453,0.47624,0.02819,0.01999,1.12511,-0.28735,12516.703,0.48674,-0.00079,45.3629,0.78129,-0.11871,1.35352,0.93315,-0.03568,94
1,20004.453,1.44282,0.03309,0.01999,1.95627,-0.25195,0.26261,1.98469,-0.00065,45.3629,1.67381,-0.09076,1.70952,1.77528,-0.02556,94
1,20004.453,0.39038,0.0337,0.01999,1.2774,-0.32955,12516.703,0.4025,-0.0,35.93134,0.82036,-0.17258,1.07079,1.05986,-0.05367,94
2,20004.453,0.42878,0.0304,0.01999,0.95651,-0.26232,12516.703,0.44968,0.00087,45.3629,0.66684,-0.09146,2.16054,0.76579,-0.02643,94
2,20004.453,0.41674,0.03402,0.01999,0.95359,-0.25781,12516.703,0.43541,-0.00016,57.36816,0.63355,-0.09203,2.16054,0.75344,-0.02717,94
1,20004.453,1.40024,0.03293,0.01999,1.91663,-0.24837,0.41976,1.94489,-0.00274,57.36816,1.61329,-0.09133,2.16054,1.73221,-0.02595,94
1,20004.453,0.27667,0.03228,0.01999,0.93404,-0.28217,12516.703,0.28825,0.00072,45.3629,0.57513,-0.11941,1.70952,0.72928,-0.03509,94
2,20004.453,0.41601,0.03178,0.01999,0.95318,-0.25678,12516.703,0.4348,0.00085,57.36816,0.63469,-0.0928,2.16054,0.75468,-0.02725,94
5,20004.453,0.37289,0.02741,0.01999,1.24381,-0.31707,15829.126,0.39626,0.00123,28.40909,0.80072,-0.16511,0.84734,1.02269,-0.05435,94
2,20004.453,0.4159,0.03196,0.01999,0.95679,-0.27262,12516.703,0.43529,0.00044,57.36816,0.63428,-0.09162,1.70952,0.75735,-0.02734,94
1,20004.453,1.47551,0.033,0.01999,1.99803,-0.24816,12516.703,1.44979,0.00175,57.36816,1.68939,-0.09306,1.70952,1.81002,-0.02652,94
1,20004.453,0.27496,0.03168,0.01999,0.93201,-0.28197,12516.703,0.28697,0.00019,35.93134,0.5959,-0.1193,1.35352,0.73024,-0.035,94
2,20004.453,0.4182,0.03129,0.01999,0.94864,-0.26093,12516.703,0.43934,0.00015,57.36816,0.63554,-0.09218,2.73547,0.75603,-0.02763,94
1,20004.453,1.45999,0.03339,0.01999,1.97321,-0.25512,0.41976,1.90529,0.00018,45.3629,1.69123,-0.09213,2.16054,1.79465,-0.02665,94
2,20004.453,0.41459,0.03117,0.01999,0.95239,-0.25733,12516.703,0.43538,0.00129,57.36816,0.63417,-0.09369,2.16054,0.75444,-0.02735,94
1,20004.453,1.5489,0.03201,0.01999,2.06728,-0.25149,12516.703,1.56961,0.00108,45.3629,1.78095,-0.09264,1.35352,1.88873,-0.02707,94
1,20004.453,0.27342,0.03082,0.01999,0.938,-0.28065,0.53067,0.94796,0.00038,35.93134,0.5934,-0.11888,1.35352,0.72906,-0.03532,94
2,20004.453,0.41004,0.03124,0.01999,0.95056,-0.25709,0.05102,1.06098,0.00063,57.36816,0.62824,-0.09401,1.70952,0.75297,-0.02761,94
2,20004.453,0.40604,0.03203,0.01999,0.94504,-0.25847,12516.703,0.42499,0.00142,57.36816,0.62299,-0.09442,1.70952,0.75018,-0.02791,94
1,20004.453,1.38649,0.03362,0.01999,1.9179,-0.26012,12516.703,1.40431,0.0014,57.36816,1.59991,-0.09294,1.70952,1.72421,-0.02699,94
1,20004.453,0.27395,0.03107,0.01999,0.94155,-0.28231,0.41976,0.96458,-3e-05,45.3629,0.57045,-0.12038,1.35352,0.7299,-0.03599,94
2,20004.453,0.47571,0.02615,0.01999,1.13355,-0.28542,12516.703,0.48675,-0.00143,45.3629,0.78237,-0.11957,1.70952,0.9323,-0.03658,94
1,20004.453,0.39194,0.0335,0.01999,1.28189,-0.33673,12516.703,0.40523,-0.00024,35.93134,0.82599,-0.17487,1.07079,1.06637,-0.05423,93
1,20004.453,1.45805,0.03331,0.01999,1.98309,-0.25494,12516.703,1.44445,0.00133,57.36816,1.67195,-0.09299,1.70952,1.79933,-0.02723,93
1,20004.453,1.37511,0.03164,0.01999,1.90105,-0.24949,12516.703,1.41532,-0.00015,45.3629,1.6062,-0.09499,1.70952,1.71677,-0.02733,93
2,20004.453,0.40288,0.0318,0.01999,0.94017,-0.26498,12516.703,0.42156,-0.00096,45.3629,0.63925,-0.09468,1.70952,0.74907,-0.027,93
1,20004.453,0.27298,0.03019,0.01999,0.9331,-0.28445,12516.703,0.28533,0.00038,35.93134,0.59461,-0.12142,1.35352,0.73075,-0.03589,93
2,20004.453,0.40362,0.0311,0.01999,0.94626,-0.27724,12516.703,0.42329,0.0006,45.3629,0.63987,-0.09507,1.70952,0.75067,-0.02854,93
1,20004.453,1.36155,0.0328,0.01999,1.88633,-0.25704,12516.703,1.37411,-0.00088,45.3629,1.59231,-0.09565,2.16054,1.70156,-0.02749,93
2,20004.453,0.40036,0.03103,0.01999,0.94534,-0.25926,12516.703,0.41833,-0.00021,45.3629,0.63578,-0.0957,2.16054,0.74544,-0.02854,93
1,20004.453,1.4343,0.03251,0.01999,1.97129,-0.25097,12516.703,1.40673,0.00163,45.3629,1.66698,-0.09492,1.70952,1.77842,-0.027,93
1,20004.453,1.24327,0.03227,0.01999,1.76965,-0.25838,12516.703,1.26275,0.00071,45.3629,1.47402,-0.09548,1.70952,1.58804,-0.0267,93
2,20004.453,0.39494,0.03192,0.01999,0.95086,-0.27224,12516.703,0.41701,-0.00016,45.3629,0.6336,-0.09548,1.70952,0.74651,-0.02814,93
2,20004.453,0.47508,0.02677,0.01999,1.1347,-0.28097,15829.126,0.50559,0.00188,45.3629,0.78069,-0.12074,1.35352,0.93692,-0.03688,93
1,20004.453,0.2728,0.02902,0.01999,0.93732,-0.28806,12516.703,0.28602,0.00081,45.3629,0.57086,-0.12118,1.07079,0.73878,-0.03632,93
1,20004.453,1.31159,0.03425,0.01999,1.84312,-0.25733,0.13007,1.88052,8e-05,57.36816,1.52551,-0.09466,2.16054,1.65586,-0.02727,93
2,20004.453,0.39429,0.03109,0.01999,0.95046,-0.26684,12516.703,0.4134,-0.00084,57.36816,0.61084,-0.09513,1.70952,0.74474,-0.02818,93
1,20004.453,1.29389,0.03328,0.01999,1.82689,-0.25287,12516.703,1.29639,-0.00071,45.3629,1.52691,-0.09497,2.16054,1.63927,-0.0278,93
1,20004.453,1.242,0.03306,0.01999,1.76991,-0.25268,12516.703,1.27487,0.00051,57.36816,1.45349,-0.09538,1.70952,1.58746,-0.02812,93
1,20004.453,0.27246,0.03095,0.01999,0.94457,-0.2873,12516.703,0.28482,0.00024,35.93134,0.59198,-0.12083,1.70952,0.7256,-0.03574,93
1,20004.453,0.39225,0.03368,0.01999,1.29838,-0.32562,0.08153,1.58905,-0.00013,35.93134,0.82683,-0.17481,0.84734,1.07313,-0.05409,93
5,20004.453,0.37524,0.02647,0.01999,1.24476,-0.31775,15829.126,0.40088,0.00278,28.40909,0.80611,-0.16548,0.84734,1.03049,-0.05463,93
1,20004.453,1.20547,0.03209,0.01999,1.73588,-0.25717,12516.703,1.23148,0.00121,45.3629,1.43615,-0.09571,1.70952,1.55178,-0.02743,93
1,20004.453,1.19041,0.03245,0.01999,1.72909,-0.25358,0.06443,1.5149,4e-05,45.3629,1.41985,-0.09702,1.70952,1.53621,-0.0278,92
1,20004.453,1.27841,0.03161,0.01999,1.81223,-0.25313,12516.703,1.27884,-0.00025,45.3629,1.50926,-0.09601,1.70952,1.6256,-0.02816,92
2,20004.453,0.39297,0.02932,0.01999,0.95063,-0.26569,12516.703,0.41397,-0.00177,45.3629,0.62927,-0.0966,1.70952,0.74612,-0.02879,92
2,20004.453,0.39428,0.02995,0.01999,0.95236,-0.27051,12516.703,0.41481,-0.00066,45.3629,0.63139,-0.09545,1.70952,0.74615,-0.02851,92
1,20004.453,0.27086,0.03063,0.01999,0.9528,-0.2947,12516.703,0.28361,0.00036,45.3629,0.56819,-0.12131,1.35352,0.73346,-0.03626,92
2,20004.453,0.398,0.03027,0.01999,0.94165,-0.26729,0.13007,0.78754,-0.00043,45.3629,0.63073,-0.09629,1.70952,0.74929,-0.02841,92
1,20004.453,1.29647,0.03212,0.01999,1.83216,-0.25887,12516.703,1.30353,-0.00034,45.3629,1.52774,-0.09768,2.16054,1.64301,-0.0276,92
2,20004.453,0.47387,0.02719,0.01999,1.14642,-0.28254,12516.703,0.4859,-0.00171,45.3629,0.77978,-0.12034,1.35352,0.93762,-0.037,92
1,20004.453,0.39252,0.03331,0.01999,1.28814,-0.33888,12516.703,0.40675,-0.00071,35.93134,0.82798,-0.17498,0.84734,1.07542,-0.05466,92
1,20004.453,0.27161,0.03123,0.01999,0.93954,-0.29064,12516.703,0.28312,8e-05,45.3629,0.56695,-0.12334,1.35352,0.73562,-0.0368,92
1,20004.453,1.28402,0.03301,0.01999,1.82403,-0.26016,12516.703,1.27521,-0.00123,45.3629,1.51394,-0.09812,2.16054,1.63207,-0.02811,92
2,20004.453,0.38883,0.02909,0.01999,0.95015,-0.27499,12516.703,0.40929,-0.0,45.3629,0.6267,-0.09893,1.70952,0.74563,-0.02915,92
1,20004.453,1.26476,0.03235,0.01999,1.80602,-0.25349,12516.703,1.27795,-0.00113,45.3629,1.49627,-0.09814,1.70952,1.61619,-0.02832,92
2,20004.453,0.38207,0.03016,0.01999,0.93367,-0.26556,12516.703,0.4034,-0.00165,57.36816,0.60245,-0.0979,1.70952,0.74063,-0.02882,92
2,20004.453,0.38473,0.02864,0.01999,0.94645,-0.2772,0.20791,1.0067,-0.00072,45.3629,0.62065,-0.09753,1.70952,0.74144,-0.02882,92
1,20004.453,1.35162,0.03172,0.01999,1.88839,-0.25762,12516.703,1.33501,-0.00061,35.93134,1.603,-0.09852,1.70952,1.70343,-0.02886,92
1,20004.453,1.24623,0.03134,0.01999,1.78549,-0.25927,12516.703,1.264,-0.00028,45.3629,1.47721,-0.09858,1.70952,1.59912,-0.02795,92
1,20004.453,1.12833,0.03258,0.01999,1.67413,-0.25425,12516.703,1.17319,-0.00078,35.93134,1.378,-0.09787,1.70952,1.4819,-0.02863,92
2,20004.453,0.38162,0.03086,0.01999,0.93201,-0.26789,12516.703,0.40355,-0.00064,45.3629,0.61905,-0.09805,1.70952,0.73962,-0.02901,92
2,20004.453,0.37815,0.031,0.01999,0.94127,-0.26749,12516.703,0.39793,-0.00146,45.3629,0.61526,-0.09904,1.70952,0.73515,-0.02926,92
1,20004.453,1.11866,0.03339,0.01999,1.66463,-0.25405,12516.703,1.13754,-0.00146,45.3629,1.34874,-0.09784,1.35352,1.47441,-0.02904,92
1,20004.453,0.26913,0.02934,0.01999,0.95271,-0.29927,12516.703,0.28254,0.00018,45.3629,0.56593,-0.12295,1.35352,0.73343,-0.03651,92
2,20004.453,0.47205,0.0258,0.01999,1.14087,-0.2958,12516.703,0.48237,-0.00072,45.3629,0.77644,-0.11954,1.35352,0.93209,-0.03612,92
1,20004.453,0.39164,0.03335,0.01999,1.29382,-0.33428,12516.703,0.40531,-0.00052,35.93134,0.82711,-0.17572,1.07079,1.07189,-0.0542,92
2,20004.453,0.47094,0.02679,0.01999,1.1492,-0.28754,12516.703,0.48442,-0.00022,57.36816,0.7582,-0.12098,1.70952,0.93453,-0.03704,92
1,20004.453,0.26938,0.03004,0.01999,0.94965,-0.28695,12516.703,0.28105,0.00058,45.3629,0.56421,-0.12311,1.70952,0.73005,-0.03609,91
5,20004.453,0.37643,0.02669,0.01999,1.24869,-0.32628,15829.126,0.40084,0.00134,28.40909,0.81001,-0.16699,1.07079,1.02961,-0.05463,91
1,20004.453,0.39617,0.03353,0.01999,1.29725,-0.32594,12516.703,0.40938,0.00021,35.93134,0.82528,-0.17391,1.07079,1.0669,-0.05452,91
1,20004.453,0.26884,0.03092,0.01999,0.95544,-0.29624,12516.703,0.28142,-0.00076,45.3629,0.56563,-0.1231,1.35352,0.73345,-0.03702,91
1,20004.453,1.22451,0.03307,0.01999,1.76834,-0.26013,12516.703,1.21395,-0.00136,45.3629,1.45593,-0.09819,1.70952,1.58011,-0.0286,91
2,20004.453,0.37616,0.02845,0.01999,0.94099,-0.26596,12516.703,0.39556,-0.00085,35.93134,0.63204,-0.09856,1.70952,0.73556,-0.02927,91
2,20004.453,0.47263,0.02732,0.01999,1.14293,-0.29314,0.08153,1.07697,-0.00063,45.3629,0.77691,-0.12008,1.35352,0.93305,-0.03643,91
2,20004.453,0.37721,0.02936,0.01999,0.93735,-0.26269,0.06443,0.83385,-0.00106,45.3629,0.61463,-0.09932,1.35352,0.73952,-0.02936,91
2,20004.453,0.37453,0.02973,0.01999,0.93919,-0.26477,12516.703,0.39519,-0.00145,45.3629,0.61086,-0.0995,1.70952,0.73585,-0.02949,91
1,20004.453,1.08314,0.03163,0.01999,1.62584,-0.26277,12516.703,1.0983,0.00027,45.3629,1.31164,-0.09985,1.70952,1.43921,-0.02875,91
1,20004.453,1.16591,0.03041,0.01999,1.71569,-0.25512,12516.703,1.19972,-0.00027,35.93134,1.41704,-0.09981,1.35352,1.52599,-0.02878,91
1,20004.453,0.39351,0.03208,0.01999,1.29283,-0.3338,12516.703,0.40519,-0.00054,35.93134,0.82701,-0.17629,0.84734,1.07715,-0.05483,91
1,20004.453,1.15275,0.03234,0.01999,1.69672,-0.2585,12516.703,1.13591,8e-05,45.3629,1.38396,-0.09983,1.35352,1.51149,-0.02885,91
2,20004.453,0.37693,0.03053,0.01999,0.94518,-0.27085,12516.703,0.39669,-0.00109,35.93134,0.63203,-0.09988,1.70952,0.73715,-0.0295,91
1,20004.453,0.39641,0.0342,0.01999,1.29153,-0.33413,12516.703,0.40892,-0.00022,35.93134,0.82541,-0.17402,0.84734,1.0717,-0.05331,91
1,20004.453,1.1082,0.0335,0.01999,1.65495,-0.26167,0.05102,1.42709,0.00064,45.3629,1.33934,-0.09993,1.35352,1.46879,-0.02902,91
1,20004.453,1.15678,0.03184,0.01999,1.70285,-0.25899,12516.703,1.16271,0.00035,35.93134,1.4076,-0.0999,1.70952,1.51418,-0.0292,91
2,20004.453,0.47271,0.02766,0.01999,1.1368,-0.28042,12516.703,0.48329,-0.00162,45.3629,0.77593,-0.12034,1.70952,0.92996,-0.03685,91
1,20004.453,0.26887,0.03033,0.01999,0.95454,-0.2883,12516.703,0.28197,0.00034,35.93134,0.59116,-0.12437,1.07079,0.74081,-0.03762,91
2,20004.453,0.37929,0.02858,0.01999,0.94683,-0.26592,12516.703,0.401,-0.0009,45.3629,0.61551,-0.10052,1.35352,0.74364,-0.02926,91
1,20004.453,1.16668,0.03155,0.01999,1.71906,-0.26274,12516.703,1.1423,-0.00173,35.93134,1.41735,-0.10206,1.70952,1.52612,-0.02959,91
2,20004.453,0.37858,0.02847,0.01999,0.93966,-0.28208,0.13007,0.81272,0.00067,45.3629,0.61714,-0.09957,1.70952,0.74152,-0.02937,91
1,20004.453,1.07545,0.03186,0.01999,1.62559,-0.25887,12516.703,1.10832,0.00032,35.93134,1.32612,-0.10181,1.35352,1.43844,-0.02924,91
1,20004.453,1.0993,0.03072,0.01999,1.6481,-0.25822,12516.703,1.11554,-0.00131,35.93134,1.34996,-0.10263,1.35352,1.46162,-0.02995,91
2,20004.453,0.37613,0.02855,0.01999,0.95055,-0.27682,15829.126,0.41206,0.00197,45.3629,0.61489,-0.10211,1.35352,0.74473,-0.02974,91
1,20004.453,0.26734,0.03009,0.01999,0.95838,-0.29187,12516.703,0.28011,-0.00052,45.3629,0.56495,-0.12493,1.35352,0.7377,-0.03749,91
1,20004.453,0.26967,0.02983,0.01999,0.94407,-0.28662,12516.703,0.28062,3e-05,45.3629,0.56245,-0.12313,1.35352,0.73527,-0.03696,91
1,20004.453,0.98885,0.03263,0.01999,1.54562,-0.27351,12516.703,0.99875,-0.00111,45.3629,1.21799,-0.10102,1.70952,1.34979,-0.02911,91
2,20004.453,0.37782,0.02857,0.01999,0.94029,-0.26411,15829.126,0.4093,0.00177,45.3629,0.61347,-0.10023,1.35352,0.74372,-0.0297,91
1,20004.453,0.26841,0.03084,0.01999,0.9386,-0.29317,12516.703,0.28142,-0.00043,45.3629,0.56258,-0.12335,1.35352,0.7331,-0.03687,91
2,20004.453,0.37785,0.02954,0.01999,0.95001,-0.26681,15829.126,0.41524,0.00096,45.3629,0.61494,-0.10107,1.70952,0.74243,-0.03002,91
1,20004.453,0.9188,0.03232,0.01999,1.48191,-0.27247,12516.703,0.95762,-0.00157,35.93134,1.16879,-0.10216,1.35352,1.28473,-0.02967,91
1,20004.453,1.01365,0.03165,0.01999,1.57656,-0.26143,12516.703,1.03691,-0.00147,45.3629,1.24504,-0.10242,1.70952,1.37773,-0.02947,90
2,20004.453,0.38067,0.0295,0.01999,0.94671,-0.26469,12516.703,0.38956,0.00115,45.3629,0.61504,-0.10264,1.70952,0.74551,-0.02919,90
1,20004.453,0.26735,0.02921,0.01999,0.94447,-0.2949,12516.703,0.28098,0.00105,35.93134,0.58718,-0.1244,1.35352,0.73825,-0.03749,90
5,20004.453,0.37789,0.02512,0.01999,1.26363,-0.31972,15829.126,0.40546,0.00272,28.40909,0.8118,-0.16961,0.84734,1.03934,-0.05553,90
1,20004.453,0.98743,0.03126,0.01999,1.54576,-0.26427,12516.703,0.97169,-0.0014,35.93134,1.23891,-0.10213,1.70952,1.35162,-0.03016,90
2,20004.453,0.37731,0.0295,0.01999,0.94221,-0.2716,0.10309,0.88396,0.00106,35.93134,0.63489,-0.1013,1.70952,0.74643,-0.02957,90
1,20004.453,0.40838,0.03418,0.01999,1.30244,-0.34723,12516.703,0.41931,-0.00031,35.93134,0.83469,-0.17548,1.07079,1.0778,-0.0536,90
2,20004.453,0.3775,0.02868,0.01999,0.95231,-0.26709,12516.703,0.39268,0.00114,45.3629,0.61373,-0.10145,1.70952,0.74486,-0.0301,90
1,20004.453,1.01919,0.03073,0.01999,1.57688,-0.26477,0.05102,1.6347,0.00091,35.93134,1.26973,-0.10179,1.70952,1.38281,-0.02969,90
1,20004.453,0.40612,0.03392,0.01999,1.3093,-0.33148,12516.703,0.41788,4e-05,28.40909,0.8707,-0.17754,0.84734,1.09163,-0.05491,90
2,20004.453,0.46412,0.02794,0.01999,1.1333,-0.29064,15829.126,0.49582,0.00068,57.36816,0.74871,-0.12115,1.70952,0.93119,-0.03726,90
1,20004.453,0.40993,0.03018,0.01999,1.30888,-0.32696,12516.703,0.4217,0.00043,35.93134,0.83249,-0.17574,1.07079,1.08039,-0.05459,90
1,20004.453,1.05731,0.03043,0.01999,1.61455,-0.26496,12516.703,1.07581,-0.0019,45.3629,1.28853,-0.10342,1.70952,1.425,-0.03002,90
2,20004.453,0.46373,0.02785,0.01999,1.13177,-0.28288,12516.703,0.47606,-0.00153,45.3629,0.77096,-0.12177,1.35352,0.92987,-0.03642,90
2,20004.453,0.37571,0.02902,0.01999,0.95154,-0.26795,15829.126,0.41274,0.00163,45.3629,0.61339,-0.10217,1.70952,0.74304,-0.03031,90
1,20004.453,0.97584,0.0317,0.01999,1.53382,-0.26622,12516.703,0.98492,0.00227,35.93134,1.22665,-0.10385,1.70952,1.34331,-0.03037,90
1,20004.453,0.97255,0.03004,0.01999,1.53802,-0.27541,0.84734,1.53469,0.00146,45.3629,1.20301,-0.10369,1.70952,1.33887,-0.0304,90
2,20004.453,0.37421,0.02846,0.01999,0.93804,-0.27029,15829.126,0.40868,0.00103,45.3629,0.61106,-0.10187,1.70952,0.74283,-0.03,90
1,20004.453,0.32264,0.04587,0.01999,1.2205,-0.32999,2.16054,0.94994,-0.00133,35.93134,0.749,-0.17591,1.07079,0.99633,-0.0547,90
